Date,Price,Open,High,Low,Vol.,Change %
03-01-2020,"1,18,375","1,15,417","1,26,028","1,07,734",,2.98%
02-01-2020,"1,14,948","1,13,747","1,21,428","1,10,167",,1.07%
01-01-2020,"1,13,735","1,08,267","1,15,753","1,08,062",,5.08%
12-01-2019,"1,08,239","1,05,258","1,08,850","1,03,207",,2.90%
11-01-2019,"1,05,193","1,07,390","1,07,581","1,03,512",,-2.03%
10-01-2019,"1,07,373","1,04,013","1,07,895","1,03,411",,3.25%
09-01-2019,"1,03,993","1,08,616","1,12,148","1,03,463",,-4.26%
08-01-2019,"1,08,617","97,376","1,11,628","96,826",,11.58%
07-01-2019,"97,341","96,036","1,00,044","94,980",,0.19%
06-01-2019,"97,154","90,969","99,706","90,849",,6.98%
05-01-2019,"90,817","89,399","92,031","87,822",,1.62%
04-01-2019,"89,367","89,351","90,814","88,157",,-0.01%
03-01-2019,"89,374","93,035","93,170","88,988",,-3.91%
02-01-2019,"93,012","93,740","96,078","92,367",,-0.79%
01-01-2019,"93,750","89,315","94,349","88,823",,5.12%
12-01-2018,"89,188","85,195","90,509","85,058",,4.81%
11-01-2018,"85,092","89,827","90,919","84,692",,-5.22%
10-01-2018,"89,774","86,446","91,357","86,134",,3.91%
09-01-2018,"86,398","85,227","87,852","84,827",,1.35%
08-01-2018,"85,250","83,793","85,782","81,120",,1.80%
07-01-2018,"83,742","85,814","87,031","83,265",,-2.30%
06-01-2018,"85,717","87,562","88,525","85,404",,-2.01%
05-01-2018,"87,477","87,421","89,357","86,592",,0.11%
04-01-2018,"87,378","86,356","89,104","85,848",,1.36%
03-01-2018,"86,206","85,957","87,968","84,907",,0.34%
02-01-2018,"85,917","85,475","87,307","83,987",,0.56%
01-01-2018,"85,436","83,174","86,753","82,887",,2.77%
12-01-2017,"83,135","82,197","83,501","79,613",,1.17%
11-01-2017,"82,175","82,293","84,349","81,713",,-0.15%
10-01-2017,"82,297","83,545","84,587","82,046",,-1.47%
09-01-2017,"83,529","84,524","86,750","83,314",,-1.14%
08-01-2017,"84,490","81,505","84,896","79,702",,3.74%
07-01-2017,"81,442","80,242","81,554","77,754",,1.55%
06-01-2017,"80,200","81,856","83,512","79,704",,-1.95%
05-01-2017,"81,798","81,552","82,205","78,521",,0.40%
04-01-2017,"81,472","80,965","83,544","80,446",,0.61%
03-01-2017,"80,979","83,298","83,646","78,626",,-2.72%
02-01-2017,"83,240","81,754","84,320","80,803",,1.93%
01-01-2017,"81,660","78,273","83,052","78,233",,4.38%
12-01-2016,"78,235","80,488","80,816","76,234",,-2.77%
11-01-2016,"80,464","85,183","89,489","80,281",,-5.52%
10-01-2016,"85,163","87,584","87,841","82,681",,-2.74%
09-01-2016,"87,561","87,663","89,808","87,227",,-0.06%
08-01-2016,"87,617","89,982","91,497","87,419",,-2.62%
07-01-2016,"89,974","89,259","92,860","88,061",,0.86%
06-01-2016,"89,212","81,673","92,587","81,184",,9.29%
05-01-2016,"81,626","85,932","86,592","80,470",,-4.97%
04-01-2016,"85,898","81,673","86,036","80,234",,5.25%
03-01-2016,"81,617","84,490","86,367","80,843",,-3.35%
02-01-2016,"84,450","75,890","86,284","75,782",,11.34%
01-01-2016,"75,852","70,238","76,914","70,141",,8.07%
12-01-2015,"70,190","70,766","72,583","69,418",,-0.76%
11-01-2015,"70,729","74,726","74,845","70,305",,-5.32%
10-01-2015,"74,701","73,056","77,143","72,415",,2.32%
09-01-2015,"73,011","75,365","76,737","72,856",,-3.10%
08-01-2015,"75,343","70,117","78,017","68,963",,7.51%
07-01-2015,"70,081","74,516","74,879","68,888",,-5.92%
06-01-2015,"74,493","75,874","76,816","74,143",,-1.75%
05-01-2015,"75,823","75,062","78,422","74,862",,0.82%
04-01-2015,"75,204","73,721","76,906","73,592",,2.05%
03-01-2015,"73,691","74,870","76,364","71,681",,-1.44%
02-01-2015,"74,768","79,593","79,637","74,013",,-6.06%
